"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"INTPOL";"IMPIDEAS";"INESTADO1";"INESTADO2";"CONFIANZA_1";"CONFIANZA_2";"CONFIANZA_3";"CONFIANZA_4";"CONFIANZA_5";"CONFIANZA_6";"CONFIANZA_7";"CONFIANZA_RETR_1";"CONFIANZA_RETR_2";"CONFIANZA_RETR_3";"CONFIANZA_RETR_4";"CONFIANZA_RETR_5";"CONFIANZA_RETR_6";"CONFIANZA_RETR_7";"CONFIANZA_PROS_1";"CONFIANZA_PROS_2";"CONFIANZA_PROS_3";"CONFIANZA_PROS_4";"CONFIANZA_PROS_5";"CONFIANZA_PROS_6";"CONFIANZA_PROS_7";"INFLUPOL1";"INFLUPOL2";"FUTUR1";"FUTUR2";"INFLUPAISES_1";"INFLUPAISES_2";"INFLUPAISES_3";"INFLUPAISES_4";"INFLUPAISES_5";"INFLUPAISES_6";"INFLUPAISES_7";"SAT1";"SAT2";"DESIN_1";"DESIN_2";"DESIN_3";"DESIN_4";"DESIN_5";"DESIN_6";"DESIN_7";"DESIN_8";"SIMBOL1";"SIMBOL2";"PROBLMUN1";"PROBLMUN2";"PROBLMUN3";"IDEASPROS1_1";"IDEASPROS1_2";"IDEASPROS1_3";"IDEASPROS1_4";"IDEASPROS1_5";"IDEASPROS1_6";"IDEASPROS1_7";"IDEASPROS2_1";"IDEASPROS2_2";"IDEASPROS2_3";"IDEASPROS2_4";"IDEASPROS2_5";"IDEASPROS2_6";"IDEASPROS2_7";"IDEASPROS2_8";"IDEASPROS3_1";"IDEASPROS3_2";"IDEASPROS3_3";"IDEASPROS3_4";"IDEASPROS3_5";"IDEASPROS3_6";"IDEASPROS3_7";"IDEASPROS4_1";"IDEASPROS4_2";"IDEASPROS4_3";"IDEASPROS4_4";"IDEASPROS4_5";"IDEASPROS4_6";"IDEASPROS5_1";"IDEASPROS5_2";"IDEASPROS5_3";"IDEASPROS5_4";"IDENTIFIC1";"IDENTIFIC2";"ESCIDEOL";"PARTICIPACIONG";"RECUERDO";"ESCUELA";"NIVELESTENTREV";"RELIGION";"SITLAB";"RELALAB";"CNO11";"OPINION";"CLASESOCIAL";"CLASESUB";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RECUVOTOGR";"RECUVOTOG";"ESTUDIOS";"CNO11R";"PESO"
3424;87247;3361;1;4;0;3;3;0;2;2;48;1;3;1;2;2;7;6;7;7;5;6;8;1;1;1;1;1;1;3;2;3;2;3;3;3;3;2;1;4;5;1;1;1;3;1;1;3;1;2;1;1;2;1;1;1;2;2;8;18;7;9;21;3;1;2;3;1;3;3;3;1;2;1;2;2;2;1;1;1;3;3;1;3;3;1;3;1;1;3;3;1;1;1;3;2;9;5;1;1;3;11;2;1;1;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";26;10;23;4;17;2;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;1;6;2;1,01604
3424;12521;634;1;4;13;2;5;0;2;2;32;1;3;2;1;0;4;3;3;3;4;6;7;2;2;2;2;1;1;3;2;2;2;2;2;3;3;5;3;1;4;2;8;8;1;1;2;2;1;1;1;1;4;1;4;1;4;4;8;5;7;28;99;2;1;1;2;1;1;3;2;1;2;1;3;3;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;9;7;10;1;3;3;10;1;1;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;20;0;0;1;0;22;0;"";"";24;10;23;2;18;2;1;1;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;3;3;6;1;0,88554
3424;17937;846;1;4;13;2;5;0;2;1;67;1;5;1;1;0;1;1;3;2;2;4;10;1;2;3;2;2;3;3;8;8;8;8;3;3;3;8;10;5;0;1;3;1;3;1;3;3;1;1;3;1;1;2;2;4;1;2;17;8;3;2;7;1;1;1;1;1;1;1;3;1;2;1;3;3;2;1;1;1;1;3;1;3;3;1;2;1;1;1;3;3;2;1;3;9;4;7;1;2;3;9;1;2;0;0;2;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;6;0;"";"";24;10;23;2;27;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;6;12;0,88449
3424;21169;982;1;4;13;2;5;0;2;1;37;1;4;1;2;2;5;98;8;5;10;4;7;1;1;1;8;3;3;3;8;8;8;8;3;3;3;4;2;1;5;1;2;8;8;8;8;8;1;1;1;2;1;3;8;1;1;1;8;2;34;15;98;8;2;1;2;2;1;1;3;1;1;8;8;1;1;3;1;1;8;8;8;8;8;2;8;1;8;1;8;2;2;1;8;9;3;5;1;9998;3;2;2;4;0;0;2;12;5;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;14;0;"";"";24;10;23;2;32;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;9998;9998;2;16;0,84674
3424;22467;1036;1;4;13;2;5;0;1;2;51;1;4;1;2;2;1;1;1;5;5;6;10;3;3;3;3;3;3;3;2;2;1;1;1;1;3;8;1;4;2;3;1;1;3;1;1;3;3;3;3;3;2;2;2;1;2;2;5;8;15;7;2;3;3;1;1;1;3;1;3;3;2;1;2;1;3;1;1;1;1;1;1;2;3;1;3;3;3;1;2;1;2;1;3;2;9;5;1;2;3;5;2;1;1;9;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";24;10;23;2;17;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;5;9;0,94843
3424;22530;1039;1;4;13;2;5;0;2;2;25;1;3;1;9;0;1;1;1;1;4;3;6;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;9;2;3;2;1;1;2;1;1;2;2;1;2;4;3;2;2;2;2;2;28;9;7;2;20;2;1;1;8;1;1;1;2;1;2;1;2;2;2;1;1;1;1;1;1;2;2;1;2;1;2;1;1;1;1;1;2;1;5;5;1;8995;3;7;2;6;0;0;2;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;20;0;"";"";24;10;23;2;18;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;8995;8995;5;13;0,88554
3424;22659;1049;1;4;13;2;5;0;1;2;45;1;2;2;1;0;2;1;1;2;4;6;8;1;3;1;1;3;1;3;2;3;1;1;3;3;1;3;1;1;4;2;1;3;2;1;1;2;2;2;1;1;2;1;2;2;3;2;8;17;3;15;32;1;3;3;3;1;1;1;2;1;2;1;2;1;3;1;2;1;1;2;3;1;2;3;1;1;2;1;1;1;2;1;3;2;7;8;1;2;3;13;1;1;1;1;2;3;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;"";"";24;10;23;2;21;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;6;1;0,94843
3424;24580;1124;1;4;13;2;5;0;2;2;48;1;4;2;1;0;1;1;1;1;1;1;10;3;3;3;3;3;3;1;2;2;1;1;2;1;3;97;99;1;2;3;3;3;3;3;3;3;4;2;4;2;3;3;2;1;4;4;8;5;30;2;1;2;1;1;1;2;3;3;3;3;3;3;3;3;3;1;3;2;3;3;3;3;3;3;2;3;2;3;2;2;3;2;3;3;9;5;1;2;3;11;2;1;1;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";24;10;23;2;21;3;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;6;2;0,94843
3424;38584;1729;1;4;13;2;5;0;2;1;48;1;1;9;9;0;6;8;5;5;8;7;7;1;3;1;1;3;3;3;9;2;9;9;3;9;3;4;3;9;0;3;3;3;9;9;9;9;9;99;9;9;9;9;9;9;9;9;8;5;1;2;31;9;9;3;9;3;3;3;9;1;9;9;2;9;9;3;9;9;3;3;3;3;3;1;9;1;9;1;9;3;3;3;3;2;4;7;1;2;3;4;2;1;2;6;1;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;11;0;"";"";25;10;23;3;38;4;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;2;3;6;0,83553
3424;41557;1884;1;4;13;2;5;0;2;2;38;1;1;2;1;0;5;4;5;5;6;4;6;1;3;1;1;3;1;1;2;3;2;2;3;2;2;6;7;4;2;1;1;1;2;1;1;2;1;3;1;1;1;1;1;1;4;4;8;2;4;1;29;2;3;3;3;3;1;1;3;3;3;3;1;3;3;1;3;3;3;3;1;1;3;3;1;1;1;1;2;3;3;1;2;2;4;5;1;1;3;13;5;1;1;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";25;10;23;3;16;2;1;0;0;0;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;1;6;2;0,82937
