Totales Territoriales;Comunidades y Ciudades Autonomas;Ramas de actividad;periodo;Total
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);180.224.284
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);164.003.435
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;148.779.089
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;164.929.489
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;160.586.830
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;155.397.322
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;148.401.635
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;144.859.000
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;137.908.774
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;136.208.211
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;137.997.226
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;143.389.086
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;144.752.225
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;144.878.289
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;151.226.849
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;148.025.809
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;138.535.591
Total Nacional;01 Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;128.578.073
