value,percentage,datetime,name,date,ccaa
3406748.087,1,2014-01-01T00:00:00.000+01:00,Demanda,2013-12-31,Andalucía
3092746.54,1,2014-02-01T00:00:00.000+01:00,Demanda,2014-01-31,Andalucía
3137464.538,1,2014-03-01T00:00:00.000+01:00,Demanda,2014-02-28,Andalucía
2813328.443,1,2014-04-01T00:00:00.000+02:00,Demanda,2014-03-31,Andalucía
2957216.695,1,2014-05-01T00:00:00.000+02:00,Demanda,2014-04-30,Andalucía
3020550.348,1,2014-06-01T00:00:00.000+02:00,Demanda,2014-05-31,Andalucía
3345241.637,1,2014-07-01T00:00:00.000+02:00,Demanda,2014-06-30,Andalucía
3387481.35,1,2014-08-01T00:00:00.000+02:00,Demanda,2014-07-31,Andalucía
3127402.606,1,2014-09-01T00:00:00.000+02:00,Demanda,2014-08-31,Andalucía
2904451.315,1,2014-10-01T00:00:00.000+02:00,Demanda,2014-09-30,Andalucía
2914373.673,1,2014-11-01T00:00:00.000+01:00,Demanda,2014-10-31,Andalucía
3340778.252,1,2014-12-01T00:00:00.000+01:00,Demanda,2014-11-30,Andalucía
3485428.721,1,2015-01-01T00:00:00.000+01:00,Demanda,2014-12-31,Andalucía
3167179.074,1,2015-02-01T00:00:00.000+01:00,Demanda,2015-01-31,Andalucía
3150607.517,1,2015-03-01T00:00:00.000+01:00,Demanda,2015-02-28,Andalucía
2809896.497,1,2015-04-01T00:00:00.000+02:00,Demanda,2015-03-31,Andalucía
3047140.45,1,2015-05-01T00:00:00.000+02:00,Demanda,2015-04-30,Andalucía
3184114.599,1,2015-06-01T00:00:00.000+02:00,Demanda,2015-05-31,Andalucía
3923735.479,1,2015-07-01T00:00:00.000+02:00,Demanda,2015-06-30,Andalucía
3621936.219,1,2015-08-01T00:00:00.000+02:00,Demanda,2015-07-31,Andalucía
3034131.643,1,2015-09-01T00:00:00.000+02:00,Demanda,2015-08-31,Andalucía
2956529.323,1,2015-10-01T00:00:00.000+02:00,Demanda,2015-09-30,Andalucía
2921433.923,1,2015-11-01T00:00:00.000+01:00,Demanda,2015-10-31,Andalucía
3236452.127,1,2015-12-01T00:00:00.000+01:00,Demanda,2015-11-30,Andalucía
882108.476,1,2014-01-01T00:00:00.000+01:00,Demanda,2013-12-31,Aragón
834865.15,1,2014-02-01T00:00:00.000+01:00,Demanda,2014-01-31,Aragón
868728.295,1,2014-03-01T00:00:00.000+01:00,Demanda,2014-02-28,Aragón
796593.639,1,2014-04-01T00:00:00.000+02:00,Demanda,2014-03-31,Aragón
829115.486,1,2014-05-01T00:00:00.000+02:00,Demanda,2014-04-30,Aragón
821585.897,1,2014-06-01T00:00:00.000+02:00,Demanda,2014-05-31,Aragón
850999.386,1,2014-07-01T00:00:00.000+02:00,Demanda,2014-06-30,Aragón
841804.04,1,2014-08-01T00:00:00.000+02:00,Demanda,2014-07-31,Aragón
851036.066,1,2014-09-01T00:00:00.000+02:00,Demanda,2014-08-31,Aragón
825477.114,1,2014-10-01T00:00:00.000+02:00,Demanda,2014-09-30,Aragón
