DATE,price.index,month,year,CCAAnombre,mes,prec,tmin,tmax,tmed,id,PIB,CCAA,response_p,total.x,response_sd,mas,menos,igual,ns,total.y
1996-01-01,67.21,1,1996,Asturias,enero,1182,1.9,105,62,NA,NA,3,0.37894736842105264,95,0.0497727742517313,0.5,0.2127659574468085,0.2872340425531915,0,94
1996-01-01,67.21,1,1996,Islas Baleares,enero,532,5.7,143,100,NA,NA,4,0.38144329896907214,97,0.049319525068643226,0.4845360824742268,0.21649484536082475,0.29896907216494845,0,97
1996-01-01,67.21,1,1996,Cantabria,enero,1257,2.1,103,62,NA,NA,6,0.375,56,0.06469364618834571,0.6545454545454545,0.12727272727272726,0.21818181818181817,0,55
1996-01-01,67.21,1,1996,Ceuta,enero,855,10.5,161,133,NA,NA,18,0.42857142857142855,7,0.1870439059165649,0.7142857142857143,0.14285714285714285,0,0.14285714285714285,7
1996-01-01,67.21,1,1996,La Rioja,enero,435,-0.1,79,39,NA,NA,17,0.3928571428571429,28,0.09229618630166093,0.5,0.17857142857142858,0.32142857142857145,0,28
1996-01-01,67.21,1,1996,Madrid,enero,453,0,94,47,NA,NA,13,0.43515358361774736,586,0.020480363619751352,0.5042735042735043,0.2512820512820513,0.2376068376068376,0.006837606837606838,585
1996-01-01,67.21,1,1996,Melilla,enero,556,9.9,168,134,NA,NA,19,0.16666666666666666,6,0.15214515486254615,0.6666666666666666,0,0.3333333333333333,0,6
1996-01-01,67.21,1,1996,Murcia,enero,254,3.3,138,86,NA,NA,14,0.3671875,128,0.0426065612468232,0.5703125,0.1640625,0.265625,0,128
1996-01-01,67.21,1,1996,Navarra,enero,858,0.8,86,47,NA,NA,15,0.3064516129032258,62,0.05854954089958532,0.4918032786885246,0.26229508196721313,0.2459016393442623,0,61
1996-01-01,67.21,1,1996,Islas Canarias,enero,413,11.4,179,146,NA,NA,5,0.3222222222222223,180,0.03483254079867106,0.6166666666666667,0.17222222222222222,0.20555555555555555,0.005555555555555556,180
1996-01-01,67.21,1,1996,Andalucía,enero,688,3.4,134,84,NA,NA,1,0.34718498659517444,746,0.017430350547591046,0.5825503355704698,0.16778523489932887,0.24161073825503357,0.008053691275167786,745
1996-01-01,67.21,1,1996,Aragón,enero,339,-0.4,87,41,NA,NA,2,0.39814814814814814,108,0.047103727173668265,0.5648148148148148,0.25925925925925924,0.17592592592592593,0,108
1996-01-01,67.21,1,1996,Castilla la Mancha,enero,415,-0.1,100,49,NA,NA,7,0.35263157894736824,190,0.03466247390542827,0.6,0.12105263157894737,0.2789473684210526,0,190
1996-01-01,67.21,1,1996,Castilla y León,enero,588,-1,76,33,NA,NA,8,0.3893805309734514,226,0.03243532251015152,0.5353982300884956,0.17256637168141592,0.28761061946902655,0.004424778761061947,226
1996-01-01,67.21,1,1996,Cataluña,enero,435,0.2,97,50,NA,NA,9,0.4372093023255813,645,0.019531621281913405,0.5854037267080745,0.18322981366459629,0.2251552795031056,0.006211180124223602,644
1996-01-01,67.21,1,1996,Extremadura,enero,684,3.1,122,76,NA,NA,11,0.22580645161290322,93,0.04335622613111271,0.5806451612903226,0.1827956989247312,0.23655913978494625,0,93
1996-01-01,67.21,1,1996,Galicia,enero,1553,2.4,105,65,NA,NA,12,0.4016064257028113,249,0.031066627747253807,0.5542168674698795,0.21285140562248997,0.22088353413654618,0.012048192771084338,249
1996-01-01,67.21,1,1996,País Vasco,enero,1214,2.5,100,62,NA,NA,16,0.4726368159203981,201,0.035214428872001075,0.6268656716417911,0.15920398009950248,0.208955223880597,0.004975124378109453,201
1996-01-01,67.21,1,1996,Valencia,enero,421,3,129,80,NA,NA,10,0.41387559808612434,418,0.024090270197110738,0.5168269230769231,0.22115384615384615,0.25961538461538464,0.002403846153846154,416
