value,percentage,datetime,name,date,ccaa
2621994.284,1,2014-01-01T00:00:00.000+01:00,Generación total,2013-12-31,Andalucía
2137665.294,1,2014-02-01T00:00:00.000+01:00,Generación total,2014-01-31,Andalucía
2414085.046,1,2014-03-01T00:00:00.000+01:00,Generación total,2014-02-28,Andalucía
2068914.12,1,2014-04-01T00:00:00.000+02:00,Generación total,2014-03-31,Andalucía
2806517.2260000003,1,2014-05-01T00:00:00.000+02:00,Generación total,2014-04-30,Andalucía
2873307.732,1,2014-06-01T00:00:00.000+02:00,Generación total,2014-05-31,Andalucía
3151054.3430000003,1,2014-07-01T00:00:00.000+02:00,Generación total,2014-06-30,Andalucía
3260737.4620000008,1,2014-08-01T00:00:00.000+02:00,Generación total,2014-07-31,Andalucía
2894153.506,1,2014-09-01T00:00:00.000+02:00,Generación total,2014-08-31,Andalucía
2773955.297,1,2014-10-01T00:00:00.000+02:00,Generación total,2014-09-30,Andalucía
2284820.9889999996,1,2014-11-01T00:00:00.000+01:00,Generación total,2014-10-31,Andalucía
2651646.6240000003,1,2014-12-01T00:00:00.000+01:00,Generación total,2014-11-30,Andalucía
3067923.5219999994,1,2015-01-01T00:00:00.000+01:00,Generación total,2014-12-31,Andalucía
2765200.583,1,2015-02-01T00:00:00.000+01:00,Generación total,2015-01-31,Andalucía
2624472.351,1,2015-03-01T00:00:00.000+01:00,Generación total,2015-02-28,Andalucía
2715583.5160000003,1,2015-04-01T00:00:00.000+02:00,Generación total,2015-03-31,Andalucía
2897074.4420000003,1,2015-05-01T00:00:00.000+02:00,Generación total,2015-04-30,Andalucía
3228922.365,1,2015-06-01T00:00:00.000+02:00,Generación total,2015-05-31,Andalucía
3547085.0970000005,1,2015-07-01T00:00:00.000+02:00,Generación total,2015-06-30,Andalucía
3357540.392,1,2015-08-01T00:00:00.000+02:00,Generación total,2015-07-31,Andalucía
2980688.564,1,2015-09-01T00:00:00.000+02:00,Generación total,2015-08-31,Andalucía
2833369.7980000004,1,2015-10-01T00:00:00.000+02:00,Generación total,2015-09-30,Andalucía
2903535.14,1,2015-11-01T00:00:00.000+01:00,Generación total,2015-10-31,Andalucía
2817329.101,1,2015-12-01T00:00:00.000+01:00,Generación total,2015-11-30,Andalucía
718193.982,0.2739113454146645,2014-01-01T00:00:00.000+01:00,Eólica,2013-12-31,Andalucía
