value,percentage,datetime,name,date,ccaa
718193.982,0.2739113454146645,2014-01-01T00:00:00.000+01:00,Eólica,2013-12-31,Andalucía
654211.331,0.3060401143416795,2014-02-01T00:00:00.000+01:00,Eólica,2014-01-31,Andalucía
740938.874,0.306923269015602,2014-03-01T00:00:00.000+01:00,Eólica,2014-02-28,Andalucía
586261.941,0.2833669775524563,2014-04-01T00:00:00.000+02:00,Eólica,2014-03-31,Andalucía
582637.832,0.20760173021649575,2014-05-01T00:00:00.000+02:00,Eólica,2014-04-30,Andalucía
378238.973,0.131638866518736,2014-06-01T00:00:00.000+02:00,Eólica,2014-05-31,Andalucía
395374.39,0.12547368181012675,2014-07-01T00:00:00.000+02:00,Eólica,2014-06-30,Andalucía
392633.553,0.12041250102949869,2014-08-01T00:00:00.000+02:00,Eólica,2014-07-31,Andalucía
273742.55,0.0945846685161972,2014-09-01T00:00:00.000+02:00,Eólica,2014-08-31,Andalucía
627148.093,0.22608442669507087,2014-10-01T00:00:00.000+02:00,Eólica,2014-09-30,Andalucía
632105.757,0.27665439001269615,2014-11-01T00:00:00.000+01:00,Eólica,2014-10-31,Andalucía
468918.39,0.1768404529305787,2014-12-01T00:00:00.000+01:00,Eólica,2014-11-30,Andalucía
609617.02,0.198706719912818,2015-01-01T00:00:00.000+01:00,Eólica,2014-12-31,Andalucía
748937.034,0.27084365546728945,2015-02-01T00:00:00.000+01:00,Eólica,2015-01-31,Andalucía
439800.695,0.1675768063749741,2015-03-01T00:00:00.000+01:00,Eólica,2015-02-28,Andalucía
666214.497,0.24533014472753925,2015-04-01T00:00:00.000+02:00,Eólica,2015-03-31,Andalucía
587863.464,0.20291624387606952,2015-05-01T00:00:00.000+02:00,Eólica,2015-04-30,Andalucía
620665.589,0.19222066028211862,2015-06-01T00:00:00.000+02:00,Eólica,2015-05-31,Andalucía
331654.62,0.09350060991784544,2015-07-01T00:00:00.000+02:00,Eólica,2015-06-30,Andalucía
492716.101,0.14674912092613776,2015-08-01T00:00:00.000+02:00,Eólica,2015-07-31,Andalucía
365801.946,0.12272397405688842,2015-09-01T00:00:00.000+02:00,Eólica,2015-08-31,Andalucía
382281.244,0.13492105558188772,2015-10-01T00:00:00.000+02:00,Eólica,2015-09-30,Andalucía
540656.505,0.18620628955088175,2015-11-01T00:00:00.000+01:00,Eólica,2015-10-31,Andalucía
577628.383,0.20502694654840753,2015-12-01T00:00:00.000+01:00,Eólica,2015-11-30,Andalucía
428104.51,0.3338689988309437,2014-01-01T00:00:00.000+01:00,Eólica,2013-12-31,Aragón
383735.036,0.3726346384071444,2014-02-01T00:00:00.000+01:00,Eólica,2014-01-31,Aragón
434330.563,0.3665138611408278,2014-03-01T00:00:00.000+01:00,Eólica,2014-02-28,Aragón
319453.061,0.24729741333587765,2014-04-01T00:00:00.000+02:00,Eólica,2014-03-31,Aragón
453154.39,0.29731394760723423,2014-05-01T00:00:00.000+02:00,Eólica,2014-04-30,Aragón
361553.278,0.23134587877610172,2014-06-01T00:00:00.000+02:00,Eólica,2014-05-31,Aragón
455642.45,0.2889053479989313,2014-07-01T00:00:00.000+02:00,Eólica,2014-06-30,Aragón
259079.475,0.18277105446038483,2014-08-01T00:00:00.000+02:00,Eólica,2014-07-31,Aragón
164042.652,0.12610721026728564,2014-09-01T00:00:00.000+02:00,Eólica,2014-08-31,Aragón
214035.113,0.14845687728817358,2014-10-01T00:00:00.000+02:00,Eólica,2014-09-30,Aragón
323455.003,0.2570858582126904,2014-11-01T00:00:00.000+01:00,Eólica,2014-10-31,Aragón
650722.414,0.35650898898672306,2014-12-01T00:00:00.000+01:00,Eólica,2014-11-30,Aragón
520478.961,0.3383786254008064,2015-01-01T00:00:00.000+01:00,Eólica,2014-12-31,Aragón
561004.462,0.4357839773271836,2015-02-01T00:00:00.000+01:00,Eólica,2015-01-31,Aragón
510451.883,0.3950309340777006,2015-03-01T00:00:00.000+01:00,Eólica,2015-02-28,Aragón
322716.028,0.26267689178897624,2015-04-01T00:00:00.000+02:00,Eólica,2015-03-31,Aragón
476343.425,0.35521584570267206,2015-05-01T00:00:00.000+02:00,Eólica,2015-04-30,Aragón
268359.718,0.18212842163094792,2015-06-01T00:00:00.000+02:00,Eólica,2015-05-31,Aragón
361445.122,0.2358261344474205,2015-07-01T00:00:00.000+02:00,Eólica,2015-06-30,Aragón
278269.448,0.216288748618712,2015-08-01T00:00:00.000+02:00,Eólica,2015-07-31,Aragón
287179.043,0.23414977774164533,2015-09-01T00:00:00.000+02:00,Eólica,2015-08-31,Aragón
332639.193,0.28974563461351,2015-10-01T00:00:00.000+02:00,Eólica,2015-09-30,Aragón
336857.697,0.26694881191897774,2015-11-01T00:00:00.000+01:00,Eólica,2015-10-31,Aragón
107688.581,0.10905307543573235,2015-12-01T00:00:00.000+01:00,Eólica,2015-11-30,Aragón
12641.086,0.059136114307024985,2014-01-01T00:00:00.000+01:00,Eólica,2013-12-31,Cantabria
7820.483,0.04554675048490607,2014-02-01T00:00:00.000+01:00,Eólica,2014-01-31,Cantabria
6052.265,0.03087059540599345,2014-03-01T00:00:00.000+01:00,Eólica,2014-02-28,Cantabria
4541.398,0.02415685136564836,2014-04-01T00:00:00.000+02:00,Eólica,2014-03-31,Cantabria
4388.982,0.027404178125940266,2014-05-01T00:00:00.000+02:00,Eólica,2014-04-30,Cantabria
3756.641,0.02537076411516326,2014-06-01T00:00:00.000+02:00,Eólica,2014-05-31,Cantabria
3521.412,0.026567923115254688,2014-07-01T00:00:00.000+02:00,Eólica,2014-06-30,Cantabria
1511.157,0.012253520222240681,2014-08-01T00:00:00.000+02:00,Eólica,2014-07-31,Cantabria
4358.696,0.03438362912087723,2014-09-01T00:00:00.000+02:00,Eólica,2014-08-31,Cantabria
8238.554,0.06655536451908424,2014-10-01T00:00:00.000+02:00,Eólica,2014-09-30,Cantabria
11151.29,0.09330523678443423,2014-11-01T00:00:00.000+01:00,Eólica,2014-10-31,Cantabria
8326.986,0.053076964851733556,2014-12-01T00:00:00.000+01:00,Eólica,2014-11-30,Cantabria
4938.689,0.030334031641449932,2015-01-01T00:00:00.000+01:00,Eólica,2014-12-31,Cantabria
3788.486,0.025626168802987927,2015-02-01T00:00:00.000+01:00,Eólica,2015-01-31,Cantabria
5547.978,0.030926885097559326,2015-03-01T00:00:00.000+01:00,Eólica,2015-02-28,Cantabria
7064.598,0.04034187000649584,2015-04-01T00:00:00.000+02:00,Eólica,2015-03-31,Cantabria
8008.621,0.0525122897129641,2015-05-01T00:00:00.000+02:00,Eólica,2015-04-30,Cantabria
2631.018,0.019522565894942914,2015-06-01T00:00:00.000+02:00,Eólica,2015-05-31,Cantabria
2258.202,0.019286665270202424,2015-07-01T00:00:00.000+02:00,Eólica,2015-06-30,Cantabria
5241.213,0.04027906222964421,2015-08-01T00:00:00.000+02:00,Eólica,2015-07-31,Cantabria
2584.363,0.01960326843441516,2015-09-01T00:00:00.000+02:00,Eólica,2015-08-31,Cantabria
8689.279,0.06326173881286218,2015-10-01T00:00:00.000+02:00,Eólica,2015-09-30,Cantabria
7367.862,0.07140044251078623,2015-11-01T00:00:00.000+01:00,Eólica,2015-10-31,Cantabria
12620.636,0.0964776854766096,2015-12-01T00:00:00.000+01:00,Eólica,2015-11-30,Cantabria
1230465.306,0.5183406834977277,2014-01-01T00:00:00.000+01:00,Eólica,2013-12-31,Castilla la Mancha
1100210.897,0.5242949847005597,2014-02-01T00:00:00.000+01:00,Eólica,2014-01-31,Castilla la Mancha
920786.579,0.4332687940853159,2014-03-01T00:00:00.000+01:00,Eólica,2014-02-28,Castilla la Mancha
719274.917,0.3694090982586848,2014-04-01T00:00:00.000+02:00,Eólica,2014-03-31,Castilla la Mancha
564641.152,0.32740434900936916,2014-05-01T00:00:00.000+02:00,Eólica,2014-04-30,Castilla la Mancha
447080.718,0.3733912966517112,2014-06-01T00:00:00.000+02:00,Eólica,2014-05-31,Castilla la Mancha
461823.248,0.24988972723423522,2014-07-01T00:00:00.000+02:00,Eólica,2014-06-30,Castilla la Mancha
417789.906,0.23029557166916412,2014-08-01T00:00:00.000+02:00,Eólica,2014-07-31,Castilla la Mancha
316394.44,0.18684728461475913,2014-09-01T00:00:00.000+02:00,Eólica,2014-08-31,Castilla la Mancha
528094.446,0.3086754418279797,2014-10-01T00:00:00.000+02:00,Eólica,2014-09-30,Castilla la Mancha
